tkINTEGER_CONSTANT int_constant
tkFLOATING_POINT_CONSTANT float_constant
tkIDENTIFIER identifier
tkOPEN_BRACE {
tkCLOSE_BRACE }
tkSEMICOLON ;
tkCOMMA ,
tkASSIGNENT =
tkLOGICAL_NOT !
tkLOGICAL_OR ||
tkLOGICAL_AND &&
tkEQUALS ==
tkNOT_EQUALS !=
tkLESS <
tkGREATER >
tkLESS_OR_EQUAL <=
tkGREATER_OR_EQUAL >=
tkPLUS +
tkMINUS -
tkPRODUCT *
tkDIVISION /
tkMODULE %
tkINCREMENT ++
tkDECREMENT --
tkOPEN_PARENTHESIS (
tkCLOSE_PARENTHESIS )
tkPRODUCT_ASSIGNMENT *=
tkDIVISION_ASSIGNMENT /=
tkMODULE_ASSIGNENT %=
tkPLUS_ASSIGNENT +=
tkMINUS_ASSIGNENT -=
tkFOR for
tkWHILE while
tkIF if
tkDO do
tkELSE else
tkINT int
tkFLOAT float
tkCONTINUE continue
tkBREAK break
